,#graphs_train,train_node_num,#graphs_val,val_node_num,#graphs_test,test_node_num
dataset0,1.0,269.0,1.0,269.0,1.0,269.0
dataset1,1.0,277.0,1.0,277.0,1.0,277.0
dataset2,1.0,263.0,1.0,263.0,1.0,263.0
dataset3,1.0,278.0,1.0,278.0,1.0,278.0
dataset4,1.0,274.0,1.0,274.0,1.0,274.0
dataset5,1.0,277.0,1.0,277.0,1.0,277.0
dataset6,1.0,264.0,1.0,264.0,1.0,264.0
dataset7,1.0,266.0,1.0,266.0,1.0,266.0
dataset8,1.0,278.0,1.0,278.0,1.0,278.0
dataset9,1.0,262.0,1.0,262.0,1.0,262.0
server_data,1.0,2708.0,1.0,2708.0,1.0,2708.0
